epoch,year,season,episode,leecher,title,path
Attack On Titan / Shingeki no Kyojin,0,3,13,unknown,episode 13 - The Town Where Everything Began.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 13 - The Town Where Everything Began.mkv
Attack On Titan / Shingeki no Kyojin,0,3,4,unknown,episode 4 - Trust.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 4 - Trust.mkv
Attack On Titan / Shingeki no Kyojin,0,3,16,unknown,episode 16 - Perfect Game.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 16 - Perfect Game.mkv
Attack On Titan / Shingeki no Kyojin,0,3,22,unknown,episode 22 - To the Other Side of the Wall.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 22 - To the Other Side of the Wall.mkv
Attack On Titan / Shingeki no Kyojin,0,3,15,unknown,episode 15 - Descent.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 15 - Descent.mkv
Attack On Titan / Shingeki no Kyojin,0,3,9,unknown,episode 9 - Ruler of the Walls.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 9 - Ruler of the Walls.mkv
Attack On Titan / Shingeki no Kyojin,0,3,7,unknown,episode 7 - Wish.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 7 - Wish.mkv
Attack On Titan / Shingeki no Kyojin,0,3,14,unknown,episode 14 - Thunder Spears.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 14 - Thunder Spears.mkv
Attack On Titan / Shingeki no Kyojin,0,3,17,unknown,episode 17 - Hero.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 17 - Hero.mkv
Attack On Titan / Shingeki no Kyojin,0,3,10,unknown,episode 10 - Friends.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 10 - Friends.mkv
Attack On Titan / Shingeki no Kyojin,0,3,18,unknown,episode 18 - Midnight Sun.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 18 - Midnight Sun.mkv
Attack On Titan / Shingeki no Kyojin,0,3,20,unknown,episode 20 - That Day.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 20 - That Day.mkv
Attack On Titan / Shingeki no Kyojin,0,3,19,unknown,episode 19 - The Basement.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 19 - The Basement.mkv
Attack On Titan / Shingeki no Kyojin,0,3,3,unknown,episode 3 - Old Story.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 3 - Old Story.mkv
Attack On Titan / Shingeki no Kyojin,0,3,5,unknown,episode 5 - Reply.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 5 - Reply.mkv
Attack On Titan / Shingeki no Kyojin,0,3,21,unknown,episode 21 - The Attack Titan.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 21 - The Attack Titan.mkv
Attack On Titan / Shingeki no Kyojin,0,3,6,unknown,episode 6 - Sin.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 6 - Sin.mkv
Attack On Titan / Shingeki no Kyojin,0,3,11,unknown,episode 11 - Bystander.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 11 - Bystander.mkv
Attack On Titan / Shingeki no Kyojin,0,3,12,unknown,episode 12 - Night of the Battle to Retake the Wall.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 12 - Night of the Battle to Retake the Wall.mkv
Attack On Titan / Shingeki no Kyojin,0,3,1,unknown,episode 1 - Smoke Signal.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 1 - Smoke Signal.mkv
Attack On Titan / Shingeki no Kyojin,0,3,3,unknown,episode 3[Cleo]Shingeki_no_Kyojin_Season_3_-_03_(Dual Audio_10bit_720p_x265).mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 3[Cleo]Shingeki_no_Kyojin_Season_3_-_03_(Dual Audio_10bit_720p_x265).mkv
Attack On Titan / Shingeki no Kyojin,0,3,4,unknown,episode 4[Cleo]Shingeki_no_Kyojin_Season_3_-_04_(Dual Audio_10bit_720p_x265).mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 4[Cleo]Shingeki_no_Kyojin_Season_3_-_04_(Dual Audio_10bit_720p_x265).mkv
Attack On Titan / Shingeki no Kyojin,0,3,5,unknown,episode 5[Cleo]Shingeki_no_Kyojin_Season_3_-_05_(Dual Audio_10bit_720p_x265).mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 5[Cleo]Shingeki_no_Kyojin_Season_3_-_05_(Dual Audio_10bit_720p_x265).mkv
Attack On Titan / Shingeki no Kyojin,0,3,7,unknown,episode 7.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 7.mkv
Attack On Titan / Shingeki no Kyojin,0,3,2,unknown,episode 2 - Pain.mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 2 - Pain.mkv
Attack On Titan / Shingeki no Kyojin,0,3,6,unknown,episode 6 [Cleo]Shingeki_no_Kyojin_Season_3_-_06_(Dual Audio_10bit_720p_x265).mkv,../redesign-files/tv/Attack On Titan/Season 3/episode 6 [Cleo]Shingeki_no_Kyojin_Season_3_-_06_(Dual Audio_10bit_720p_x265).mkv
