{}
epoch,year,season,episode,leecher,title,path
Battle Bots,0,1,1,unknown,BattlebotsRaw S01E01.mp4,../redesign-files/tv/Battle Bots/Season 1/BattlebotsRaw S01E01.mp4
Battle Bots,0,1,2,unknown,BattlebotsRaw S01E02.mp4,../redesign-files/tv/Battle Bots/Season 1/BattlebotsRaw S01E02.mp4
Battle Bots,0,1,3,unknown,BattlebotsRaw S01E03.mp4,../redesign-files/tv/Battle Bots/Season 1/BattlebotsRaw S01E03.mp4
Battle Bots,0,1,6,unknown,BattlebotsRaw S01E06.mp4,../redesign-files/tv/Battle Bots/Season 1/BattlebotsRaw S01E06.mp4
Battle Bots,0,1,4,unknown,BattlebotsRaw S01E04.mp4,../redesign-files/tv/Battle Bots/Season 1/BattlebotsRaw S01E04.mp4
Battle Bots,0,1,5,unknown,BattlebotsRaw S01E05.mp4,../redesign-files/tv/Battle Bots/Season 1/BattlebotsRaw S01E05.mp4
Battle Bots,0,2,4,unknown,S02E04.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E04.mp4
Battle Bots,0,2,1,unknown,S02E01.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E01.mp4
Battle Bots,0,2,2,unknown,S02E02.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E02.mp4
Battle Bots,0,2,3,unknown,S02E03.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E03.mp4
Battle Bots,0,2,5,unknown,S02E05.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E05.mp4
Battle Bots,0,2,6,unknown,S02E06.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E06.mp4
Battle Bots,0,2,7,unknown,S02E07.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E07.mp4
Battle Bots,0,2,8,unknown,S02E08.mp4,../redesign-files/tv/Battle Bots/Season 2/S02E08.mp4
Battle Bots,0,3,19,unknown,Battle botsRaw S03E19.mp4,../redesign-files/tv/Battle Bots/Season 3/Battle botsRaw S03E19.mp4
Battle Bots,0,3,1,unknown,BattlebotsRaw S03E01.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E01.mp4
Battle Bots,0,3,2,unknown,BattlebotsRaw S03E02.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E02.mp4
Battle Bots,0,3,3,unknown,BattlebotsRaw S03E03.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E03.mp4
Battle Bots,0,3,4,unknown,BattlebotsRaw S03E04.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E04.mp4
Battle Bots,0,3,5,unknown,BattlebotsRaw S03E05.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E05.mp4
Battle Bots,0,3,6,unknown,BattlebotsRaw S03E06.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E06.mp4
Battle Bots,0,3,7,unknown,BattlebotsRaw S03E07.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E07.mp4
Battle Bots,0,3,8,unknown,BattlebotsRaw S03E08.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E08.mp4
Battle Bots,0,3,9,unknown,BattlebotsRaw S03E09.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E09.mp4
Battle Bots,0,3,10,unknown,BattlebotsRaw S03E10.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E10.mp4
Battle Bots,0,3,11,unknown,BattlebotsRaw S03E11.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E11.mp4
Battle Bots,0,3,12,unknown,BattlebotsRaw S03E12.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E12.mp4
Battle Bots,0,3,13,unknown,BattlebotsRaw S03E13.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E13.mp4
Battle Bots,0,3,14,unknown,BattlebotsRaw S03E14.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E14.mp4
Battle Bots,0,3,15,unknown,BattlebotsRaw S03E15.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E15.mp4
Battle Bots,0,3,16,unknown,BattlebotsRaw S03E16.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E16.mp4
Battle Bots,0,3,17,unknown,BattlebotsRaw S03E17.mp4,../redesign-files/tv/Battle Bots/Season 3/BattlebotsRaw S03E17.mp4
