{}
epoch,year,season,episode,leecher,title,path
Black Bullet,0,1,4,[Judas],[Judas] Black Bullet - S01E04.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E04.mkv
Black Bullet,0,1,10,[Judas],[Judas] Black Bullet - S01E10.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E10.mkv
Black Bullet,0,1,11,[Judas],[Judas] Black Bullet - S01E11.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E11.mkv
Black Bullet,0,1,5,[Judas],[Judas] Black Bullet - S01E05.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E05.mkv
Black Bullet,0,1,13,[Judas],[Judas] Black Bullet - S01E13.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E13.mkv
Black Bullet,0,1,7,[Judas],[Judas] Black Bullet - S01E07.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E07.mkv
Black Bullet,0,1,6,[Judas],[Judas] Black Bullet - S01E06.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E06.mkv
Black Bullet,0,1,12,[Judas],[Judas] Black Bullet - S01E12.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E12.mkv
Black Bullet,0,1,2,[Judas],[Judas] Black Bullet - S01E02.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E02.mkv
Black Bullet,0,1,3,[Judas],[Judas] Black Bullet - S01E03.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E03.mkv
Black Bullet,0,1,1,[Judas],[Judas] Black Bullet - S01E01.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E01.mkv
Black Bullet,0,1,2,[Judas],[Judas] Black Bullet - NCOP s01e-02.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - NCOP s01e-02.mkv
Black Bullet,0,1,8,[Judas],[Judas] Black Bullet - S01E08.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E08.mkv
Black Bullet,0,1,9,[Judas],[Judas] Black Bullet - S01E09.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - S01E09.mkv
Black Bullet,0,1,1,[Judas],[Judas] Black Bullet - NCED s01e-01.mkv,../redesign-files/tv/Black Bullet/Season 1 [Judas]/[Judas] Black Bullet - NCED s01e-01.mkv
