epoch,year,season,episode,leecher,title,path
Claymore,0,1,1,unknown,01) Great Sword.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/01) Great Sword.mkv
Claymore,0,1,2,unknown,02) The Black Card.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/02) The Black Card.mkv
Claymore,0,1,3,unknown,03) The Darkness in Paradise.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/03) The Darkness in Paradise.mkv
Claymore,0,1,4,unknown,04) Clare's Awakening.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/04) Clare's Awakening.mkv
Claymore,0,1,5,unknown,05) Teresa of the Faint Smile.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/05) Teresa of the Faint Smile.mkv
Claymore,0,1,6,unknown,06) Teresa and Clare.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/06) Teresa and Clare.mkv
Claymore,0,1,7,unknown,07) Marked for Death.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/07) Marked for Death.mkv
Claymore,0,1,8,unknown,08) Awakening.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/08) Awakening.mkv
Claymore,0,1,9,unknown,09) Those Who Rend Asunder [1of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/09) Those Who Rend Asunder [1of3].mkv
Claymore,0,1,10,unknown,10) Those Who Rend Asunder [2of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/10) Those Who Rend Asunder [2of3].mkv
Claymore,0,1,11,unknown,11) Those Who Rend Asunder [3of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/11) Those Who Rend Asunder [3of3].mkv
Claymore,0,1,12,unknown,12) The Endless Gravestones [1of2].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/12) The Endless Gravestones [1of2].mkv
Claymore,0,1,13,unknown,13) The Endless Gravestones [2of2].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/13) The Endless Gravestones [2of2].mkv
Claymore,0,1,14,unknown,14) Qualified to Fight.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/14) Qualified to Fight.mkv
Claymore,0,1,15,unknown,15) The Witch's Maw [1of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/15) The Witch's Maw [1of3].mkv
Claymore,0,1,16,unknown,16) The Witch's Maw [2of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/16) The Witch's Maw [2of3].mkv
Claymore,0,1,17,unknown,17) The Witch's Maw [3of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/17) The Witch's Maw [3of3].mkv
Claymore,0,1,18,unknown,18) The Carnage in the North [1of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/18) The Carnage in the North [1of3].mkv
Claymore,0,1,19,unknown,19) The Carnage in the North [2of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/19) The Carnage in the North [2of3].mkv
Claymore,0,1,20,unknown,20) The Carnage in the North [3of3].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/20) The Carnage in the North [3of3].mkv
Claymore,0,1,21,unknown,21) Invasion of Pieta [1of2].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/21) Invasion of Pieta [1of2].mkv
Claymore,0,1,22,unknown,22) Invasion of Pieta [2of2].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/22) Invasion of Pieta [2of2].mkv
Claymore,0,1,23,unknown,23) Critical Point [1of2].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/23) Critical Point [1of2].mkv
Claymore,0,1,24,unknown,24) Critical Point [2of2].mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/24) Critical Point [2of2].mkv
Claymore,0,1,25,unknown,25) For Whose Sake.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/25) For Whose Sake.mkv
Claymore,0,1,26,unknown,26) To the Successors.mkv,../redesign-files/tv/Claymore [dualaudio]/Season 1/26) To the Successors.mkv
