epoch,year,season,episode,leecher,title,path
Curse of Hinamizawa / When They Cry,0,1,10,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_10_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_10_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,21,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_21_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_21_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,3,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_03_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_03_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,14,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_14_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_14_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,7,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_07_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_07_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,8,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_08_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_08_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,4,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_04_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_04_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,18,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_18_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_18_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,17,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_17_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_17_(10bit_BD720p_x265).mkv
Curse of Hinamizawa / When They Cry,0,1,13,[Judas],[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_13_(10bit_BD720p_x265).mkv,../redesign-files/tv/Curse of Hinamizawa/Season 1/[Cleo]Higurashi_no_Naku_Koro_ni_Kai_-_13_(10bit_BD720p_x265).mkv
