{}
epoch,year,season,episode,leecher,title,path
Devilman Crybaby,0,1,8,[Anime Time],Devilman Crybaby - S01E08.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E08.mkv
Devilman Crybaby,0,1,9,[Anime Time],Devilman Crybaby - S01E09.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E09.mkv
Devilman Crybaby,0,1,2,[Anime Time],Devilman Crybaby - S01E02.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E02.mkv
Devilman Crybaby,0,1,3,[Anime Time],Devilman Crybaby - S01E03.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E03.mkv
Devilman Crybaby,0,1,1,[Anime Time],Devilman Crybaby - S01E01.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E01.mkv
Devilman Crybaby,0,1,10,[Anime Time],Devilman Crybaby - S01E10.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E10.mkv
Devilman Crybaby,0,1,4,[Anime Time],Devilman Crybaby - S01E04.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E04.mkv
Devilman Crybaby,0,1,5,[Anime Time],Devilman Crybaby - S01E05.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E05.mkv
Devilman Crybaby,0,1,7,[Anime Time],Devilman Crybaby - S01E07.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E07.mkv
Devilman Crybaby,0,1,6,[Anime Time],Devilman Crybaby - S01E06.mkv,../redesign-files/tv/Devilman Crybaby/Season 1 [Anime Time ]/Devilman Crybaby - S01E06.mkv
