epoch,year,season,episode,leecher,title,path
Monster,0,1,1,unknown,Monster.s01e01.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e01.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,2,unknown,Monster.s01e02.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e02.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,3,unknown,Monster.s01e03.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e03.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,4,unknown,Monster.s01e04.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e04.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,5,unknown,Monster.s01e05.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e05.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,6,unknown,Monster.s01e06.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e06.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,7,unknown,Monster.s01e07.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e07.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,8,unknown,Monster.s01e08.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e08.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,9,unknown,Monster.s01e09.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e09.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,10,unknown,Monster.s01e10.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e10.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,11,unknown,Monster.s01e11.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e11.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,12,unknown,Monster.s01e12.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e12.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,13,unknown,Monster.s01e13.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e13.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,14,unknown,Monster.s01e14.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e14.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,15,unknown,Monster.s01e15.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e15.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,16,unknown,Monster.s01e16.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e16.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,17,unknown,Monster.s01e17.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e17.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,18,unknown,Monster.s01e18.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e18.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,19,unknown,Monster.s01e19.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e19.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,20,unknown,Monster.s01e20.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e20.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,21,unknown,Monster.s01e21.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e21.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,22,unknown,Monster.s01e22.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e22.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,23,unknown,Monster.s01e23.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e23.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,24,unknown,Monster.s01e24.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e24.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,25,unknown,Monster.s01e25.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e25.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,26,unknown,Monster.s01e26.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e26.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,27,unknown,Monster.s01e27.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e27.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,28,unknown,Monster.s01e28.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e28.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,29,unknown,Monster.s01e29.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e29.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,30,unknown,Monster.s01e30.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e30.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,31,unknown,Monster.s01e31.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e31.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,32,unknown,Monster.s01e32.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e32.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,33,unknown,Monster.s01e33.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e33.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,34,unknown,Monster.s01e34.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e34.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,35,unknown,Monster.s01e35.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e35.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,36,unknown,Monster.s01e36.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e36.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
Monster,0,1,37,unknown,Monster.s01e37.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv,../redesign-files/tv/Monster/Season 1/Monster.s01e37.HDTVRip.960p.LQ.Original.Color.Japanese.SDIncorporation.mkv
