epoch,year,season,episode,leecher,title,path
One Punch Man,0,1,1,[i_c],Words strongest man - 01.mkv,../redesign-files/tv/One Punch Man/Season 1/Words strongest man - 01.mkv
One Punch Man,0,1,2,[i_c],One Punch Man - 02.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 02.mkv
One Punch Man,0,1,3,[i_c],One Punch Man - 03.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 03.mkv
One Punch Man,0,1,7,[i_c],One Punch Man - 07.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 07.mkv
One Punch Man,0,1,12,[i_c],One Punch Man - 12.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 12.mkv
One Punch Man,0,1,6,[i_c],One Punch Man - 06.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 06.mkv
One Punch Man,0,1,10,[i_c],One Punch Man - 10.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 10.mkv
One Punch Man,0,1,4,[i_c],One Punch Man - 04.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 04.mkv
One Punch Man,0,1,5,[i_c],One Punch Man - 05.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 05.mkv
One Punch Man,0,1,11,[i_c],One Punch Man - 11.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 11.mkv
One Punch Man,0,1,8,[i_c],One Punch Man - 08.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 08.mkv
One Punch Man,0,1,9,[i_c],One Punch Man - 09.mkv,../redesign-files/tv/One Punch Man/Season 1/One Punch Man - 09.mkv
One Punch Man,0,2,2,[i_c],One Punch Man S2 - 02.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 02.mkv
One Punch Man,0,2,3,[i_c],One Punch Man S2 - 03.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 03.mkv
One Punch Man,0,2,1,[i_c],One Punch Man S2 - 01.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 01.mkv
One Punch Man,0,2,10,[i_c],One Punch Man S2 - 10.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 10.mkv
One Punch Man,0,2,4,[i_c],One Punch Man S2 - 04.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 04.mkv
One Punch Man,0,2,5,[i_c],One Punch Man S2 - 05.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 05.mkv
One Punch Man,0,2,11,[i_c],One Punch Man S2 - 11.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 11.mkv
One Punch Man,0,2,7,[i_c],One Punch Man S2 - 07.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 07.mkv
One Punch Man,0,2,12,[i_c],One Punch Man S2 - 12.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 12.mkv
One Punch Man,0,2,6,[i_c],One Punch Man S2 - 06.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 06.mkv
One Punch Man,0,2,8,[i_c],One Punch Man S2 - 08.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 08.mkv
One Punch Man,0,2,9,[i_c],One Punch Man S2 - 09.mkv,../redesign-files/tv/One Punch Man/Season 2/One Punch Man S2 - 09.mkv
