epoch,year,title,episode,leecher,size,path,tags
The Shining,2019,Doctor.Sleep,2,[YTS.LT].mp4,256376832,/home/pi/Videos/movies/The Shining/Doctor.Sleep 2019 [YTS.LT].mp4,1 21 4 5 16
The Shining,1980,The.Shining,1,idk.mkv,681584145,/home/pi/Videos/movies/The Shining/The.Shining 1980 idk.mkv,1 21 4 5 16
unknown yet,1990,Edward.Scissorhands,1,YIFY.BrRip.mp4,786388161,/home/pi/Videos/movies/Edward.Scissorhands 1990 YIFY.BrRip.mp4,1 21 6 19 8 5
unknown yet,1973,Fantastic.Planet,1,BRRip.x0r.mkv,1190640575,/home/pi/Videos/movies/Fantastic.Planet 1973 BRRip.x0r.mkv,1 2 3 16 5
unknown yet,1999,Fight.Club,1,YIFY.BrRip.mp4,1987772924,/home/pi/Videos/movies/Fight.Club 1999 YIFY.BrRip.mp4,1 4 5 16
unknown yet,2021,Free.Guy,1,SHITTYCAM.HushRips.mkv,841609616,/home/pi/Videos/movies/Free.Guy 2021 SHITTYCAM.HushRips.mkv,22 1 21 8 5 16
unknown yet,1997,Gattaca,1,YIFY.bitloks.BrRip.mp4,1711181622,/home/pi/Videos/movies/Gattaca 1997 YIFY.bitloks.BrRip.mp4,1 21 16 19 5
unknown yet,2021,Godzilla.Vs..Kong,1,AAC-[YTS.MX].mp4,1088464301,/home/pi/Videos/movies/Godzilla.Vs..Kong 2021 AAC-[YTS.MX].mp4,1 21 23 3 18 22
unknown yet,2020,Made.in.Abyss.Dawn.of.the.Deep.Soul,1,Mkvking.mkv,892406959,/home/pi/Videos/movies/Made.in.Abyss.Dawn.of.the.Deep.Soul 2020 Mkvking.mkv,1 3 5
unknown yet,2009,Moon,1,YIFY.BrRip.mp4,682700738,/home/pi/Videos/movies/Moon 2009 YIFY.BrRip.mp4,1 21 4 5 22
unknown yet,1987,Spaceballs,1,YIFY.mp4,629665631,/home/pi/Videos/movies/Spaceballs 1987 YIFY.mp4,1 21 8
unknown yet,2014,Interstellar,1,IMAX.2160p.HEVC-PSA.mkv,6176961380,/home/pi/Videos/movies/Interstellar 2014 IMAX.2160p.HEVC-PSA.mkv,1 21
unknown yet,1999,South.Park.The.Movie,1,idk.mkv,529199113,/home/pi/Videos/movies/South.Park.The.Movie 1999 idk.mkv,1 2 3 8
unknown yet,2007,Sunshine,1,YIFY.BOKUTOX.mp4,1561603428,/home/pi/Videos/movies/Sunshine 2007 YIFY.BOKUTOX.mp4,1 21
unknown yet,1997,The.Devils.Advocate,1,Ozlem.mp4,2262949158,/home/pi/Videos/movies/The.Devils.Advocate 1997 Ozlem.mp4,1 21
unknown yet,0,The.brother.from.another.planet,1,NTSC.mkv,1679275623,/home/pi/Videos/movies/The.brother.from.another.planet 0000 NTSC.mkv,1 21
unknown yet,1982,The.Thing,1,YIFY.mkv,680744784,/home/pi/Videos/movies/The.Thing 1982 YIFY.mkv,1 21 22
unknown yet,2007,Timecrimes,1,[YTS.MX].mp4,1826308163,/home/pi/Videos/movies/Timecrimes 2007 [YTS.MX].mp4,1 21
unknown yet,2021,Venom.Coast,1,GalaxyRG.mkv,834587737,/home/pi/Videos/movies/Venom.Coast 2021 GalaxyRG.mkv,1 21 19 5
unknown yet,1983,Videodrome,1,YIFY.mp4,577625946,/home/pi/Videos/movies/Videodrome 1983 YIFY.mp4,1 21 5 4 8 16 20 12
unknown yet,2016,Why.Him,1,BRRip.AAC-ETRG.mp4,1747861732,/home/pi/Videos/movies/Why.Him 2016 BRRip.AAC-ETRG.mp4,1 21 22 6 19
Venom,2021,Let.There.Be.Carnage,1,HQ-C1NEM4.mkv,1681066822,/home/pi/Videos/movies/Venom/Let.There.Be.Carnage 2021 HQ-C1NEM4.mkv,1 21 8
unknown yet,2020,Sonic.the.Hedgehog,1,STUTTERSHIT.mkv,3412200000,/home/pi/Videos/movies/Sonic.the.Hedgehog 2020 STUTTERSHIT.mkv,1 2 21 8
The Matrix,2003,The.Matrix.Revolutions,3,anoXmous.mp4,2263222292,/home/pi/Videos/movies/The Matrix/The.Matrix.Revolutions 2003 anoXmous.mp4,1 21 5 16
The Matrix,1999,The.Matrix,1,anoXmous.mp4,2386786373,/home/pi/Videos/movies/The Matrix/The.Matrix 1999 anoXmous.mp4,1 21 5 16
The Matrix,2003,The.Matrix.Reloaded,2,anoXmous.mp4,2420730899,/home/pi/Videos/movies/The Matrix/The.Matrix.Reloaded 2003 anoXmous.mp4,1 21 5 16
Blade Runner,1997,Blade.Runner,1,YIFY.mp4,736529943,/home/pi/Videos/movies/Blade Runner/Blade.Runner 1997 YIFY.mp4,1 21
Ant Man,2015,Ant-Man,1,DTS-JYK.mkv,3168046250,/home/pi/Videos/movies/Ant Man/Ant-Man 2015 DTS-JYK.mkv,1 21 8
The Hunger Games,2013,THG.Catching.Fire,2,HEVC.SUJAIDR.mkv,2328657942,/home/pi/Videos/movies/The Hunger Games/THG.Catching.Fire 2013 HEVC.SUJAIDR.mkv,1 21
The Hunger Games,2014,THG.Mockingjay.p1,3,HEVC.SUJAIDR.mkv,1955737703,/home/pi/Videos/movies/The Hunger Games/THG.Mockingjay.p1 2014 HEVC.SUJAIDR.mkv,1 21
The Hunger Games,2015,THG.Mockingjay.p2,4,HEVC.SUJAIDR.mkv,2180905556,/home/pi/Videos/movies/The Hunger Games/THG.Mockingjay.p2 2015 HEVC.SUJAIDR.mkv,1 21
The Hunger Games,2012,THG,1,HEVC.SUJAIDR.mkv,2268776045,/home/pi/Videos/movies/The Hunger Games/THG 2012 HEVC.SUJAIDR.mkv,1 21
Twilight,2008,Twilight,1,YIFY.BrRip.mp4,733876070,/home/pi/Videos/movies/Twilight/Twilight 2008 YIFY.BrRip.mp4,1 21
Twilight,2010,Twilight.Eclipse,3,YIFY.BrRip.x264.mp4,735025857,/home/pi/Videos/movies/Twilight/Twilight.Eclipse 2010 YIFY.BrRip.x264.mp4,1 21
