epoch,year,season,episode,leecher,title,path
Samurai Champloo,0,1,1,L@mBerT,Samurai Champloo - 01 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 01 L@mBerT.mkv
Samurai Champloo,0,1,2,L@mBerT,Samurai Champloo - 02 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 02 L@mBerT.mkv
Samurai Champloo,0,1,3,L@mBerT,Samurai Champloo - 03 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 03 L@mBerT.mkv
Samurai Champloo,0,1,4,L@mBerT,Samurai Champloo - 04 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 04 L@mBerT.mkv
Samurai Champloo,0,1,5,L@mBerT,Samurai Champloo - 05 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 05 L@mBerT.mkv
Samurai Champloo,0,1,6,L@mBerT,Samurai Champloo - 06 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 06 L@mBerT.mkv
Samurai Champloo,0,1,7,L@mBerT,Samurai Champloo - 07 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 07 L@mBerT.mkv
Samurai Champloo,0,1,8,L@mBerT,Samurai Champloo - 08 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 08 L@mBerT.mkv
Samurai Champloo,0,1,9,L@mBerT,Samurai Champloo - 09 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 09 L@mBerT.mkv
Samurai Champloo,0,1,10,L@mBerT,Samurai Champloo - 10 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 10 L@mBerT.mkv
Samurai Champloo,0,1,11,L@mBerT,Samurai Champloo - 11 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 11 L@mBerT.mkv
Samurai Champloo,0,1,12,L@mBerT,Samurai Champloo - 12 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 12 L@mBerT.mkv
Samurai Champloo,0,1,13,L@mBerT,Samurai Champloo - 13 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 13 L@mBerT.mkv
Samurai Champloo,0,1,14,L@mBerT,Samurai Champloo - 14 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 14 L@mBerT.mkv
Samurai Champloo,0,1,15,L@mBerT,Samurai Champloo - 15 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 15 L@mBerT.mkv
Samurai Champloo,0,1,16,L@mBerT,Samurai Champloo - 16 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 16 L@mBerT.mkv
Samurai Champloo,0,1,17,L@mBerT,Samurai Champloo - 17 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 17 L@mBerT.mkv
Samurai Champloo,0,1,18,L@mBerT,Samurai Champloo - 18 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 18 L@mBerT.mkv
Samurai Champloo,0,1,19,L@mBerT,Samurai Champloo - 19 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 19 L@mBerT.mkv
Samurai Champloo,0,1,20,L@mBerT,Samurai Champloo - 20 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 20 L@mBerT.mkv
Samurai Champloo,0,1,21,L@mBerT,Samurai Champloo - 21 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 21 L@mBerT.mkv
Samurai Champloo,0,1,22,L@mBerT,Samurai Champloo - 22 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 22 L@mBerT.mkv
Samurai Champloo,0,1,23,L@mBerT,Samurai Champloo - 23 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 23 L@mBerT.mkv
Samurai Champloo,0,1,24,L@mBerT,Samurai Champloo - 24 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 24 L@mBerT.mkv
Samurai Champloo,0,1,25,L@mBerT,Samurai Champloo - 25 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 25 L@mBerT.mkv
Samurai Champloo,0,1,26,L@mBerT,Samurai Champloo - 26 L@mBerT.mkv,../redesign-files/tv/Samurai Champloo/Season 1/Samurai Champloo - 26 L@mBerT.mkv
