{}
epoch,year,season,episode,leecher,title,path
School Days,0,1,1,[YURI],[YURI] School Days  S01E01 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E01 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,2,[YURI],[YURI] School Days  S01E02 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E02 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,3,[YURI],[YURI] School Days  S01E03 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E03 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,4,[YURI],[YURI] School Days  S01E04 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E04 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,5,[YURI],[YURI] School Days  S01E05 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E05 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,6,[YURI],[YURI] School Days  S01E06 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E06 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,7,[YURI],[YURI] School Days  S01E07 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E07 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,8,[YURI],[YURI] School Days  S01E08 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E08 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,9,[YURI],[YURI] School Days  S01E09 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E09 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,10,[YURI],[YURI] School Days  S01E10 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E10 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,11,[YURI],[YURI] School Days  S01E11 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E11 (BD 1080p x264 10bit Flac).mkv
School Days,0,1,12,[YURI],[YURI] School Days  S01E12 (BD 1080p x264 10bit Flac).mkv,../redesign-files/tv/School Days/Season 1/[YURI] School Days  S01E12 (BD 1080p x264 10bit Flac).mkv
