epoch,year,season,episode,leecher,title,path
South Park,0,2,14,unknown,South Park - S02E14 - Chef Aid.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E14 - Chef Aid.mkv
South Park,0,2,1,unknown,South Park - S02E01 - Terrance & Phillip in Not Without My Anus.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E01 - Terrance & Phillip in Not Without My Anus.mkv
South Park,0,2,17,unknown,South Park - S02E17 - Gnomes.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E17 - Gnomes.mkv
South Park,0,2,16,unknown,South Park - S02E16 - Merry Christmas Charlie Manson.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E16 - Merry Christmas Charlie Manson.mkv
South Park,0,2,10,unknown,South Park - S02E10 - Chickenpox.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E10 - Chickenpox.mkv
South Park,0,2,3,unknown,South Park - S02E03 - Chickenlover.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E03 - Chickenlover.mkv
South Park,0,2,5,unknown,South Park - S02E05 - Conjoined Fetus Lady.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E05 - Conjoined Fetus Lady.mkv
South Park,0,2,6,unknown,South Park - S02E06 - The Mexican Staring Frog of Southern Sri Lanka.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E06 - The Mexican Staring Frog of Southern Sri Lanka.mkv
South Park,0,2,2,unknown,South Park - S02E02 - Cartman's Mom is Still a Dirty Slut.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E02 - Cartman's Mom is Still a Dirty Slut.mkv
South Park,0,2,9,unknown,South Park - S02E09 - Chef's Chocolate Salty Balls.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E09 - Chef's Chocolate Salty Balls.mkv
South Park,0,2,18,unknown,South Park - S02E18 - Prehistoric Ice Man.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E18 - Prehistoric Ice Man.mkv
South Park,0,2,4,unknown,South Park - S02E04 - Ike's Wee Wee.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E04 - Ike's Wee Wee.mkv
South Park,0,2,7,unknown,South Park - S02E07 - City on the Edge of Forever.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E07 - City on the Edge of Forever.mkv
South Park,0,2,11,unknown,South Park - S02E11 - Roger Ebert Should Lay off the Fatty Foods.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E11 - Roger Ebert Should Lay off the Fatty Foods.mkv
South Park,0,2,8,unknown,South Park - S02E08 - Summer Sucks.mkv,../redesign-files/tv/South Park/Season 2/South Park - S02E08 - Summer Sucks.mkv
